week,0-4,5-9,10-19,20-29,30-49,50+
2025-08-19,1,0,0,0,0,0
2025-08-26,0,0,0,0,0,0
2025-09-02,0,0,0,0,0,0
2025-09-09,1,2,1,0,0,0
2025-09-16,6,2,11,2,1,0
2025-09-23,2,6,5,2,3,2
2025-09-30,5,4,14,7,2,0
2025-10-07,10,7,8,6,3,0
2025-10-14,9,7,0,4,4,1
2025-10-21,7,4,4,0,5,1
2025-10-28,5,6,5,3,4,0
2025-11-04,8,3,8,8,10,0
2025-11-11,10,2,10,3,3,0
2025-11-18,13,10,15,10,8,2
2025-11-25,14,14,22,8,8,0
2025-12-02,15,13,24,7,10,0
2025-12-09,12,18,23,13,11,2
2025-12-16,18,15,17,7,8,2
2025-12-23,28,29,27,14,9,2
2025-12-30,32,36,43,31,32,3
2026-01-06,43,37,44,33,23,3
2026-01-13,77,51,75,44,52,8
2026-01-20,77,66,84,56,80,9
2026-01-27,83,78,98,102,98,21
2026-02-03,107,92,122,119,143,15
2026-02-10,103,98,151,156,197,17
2026-02-17,69,72,98,89,125,18
2026-02-24,77,60,102,122,147,18
2026-03-03,85,62,77,80,124,20
2026-03-10,58,36,79,73,88,10
2026-03-17,65,46,57,61,82,7
2026-03-24,56,27,37,53,84,13
2026-03-31,49,25,34,37,52,13
2026-04-07,38,30,49,38,51,6
2026-04-14,40,28,23,37,45,6
2026-04-21,36,23,47,28,30,2
2026-04-28,20,12,18,20,36,3
2026-05-05,22,18,34,18,24,3
2026-05-12,15,19,23,12,19,7
2026-05-19,19,13,25,15,24,0
2026-05-26,14,10,10,13,10,2
2026-06-02,13,8,15,7,6,2
2026-06-09,10,7,4,7,6,1
2026-06-16,5,2,3,4,9,1
2026-06-23,2,4,2,1,2,0
2026-06-30,2,1,1,0,1,0
