week,0-4,5-9,10-19,20-29,30-49,50+
2025-05-27,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-03,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-10,18015.0,589.0,1187.0,975.0,1701.0,0.0
2025-06-17,3450.0,133.0,837.0,530.0,337.0,0.0
2025-06-24,1963.0,97.0,1875.0,1137.0,1665.0,0.0
2025-07-01,1625.0,147.0,1804.0,940.0,1725.0,0.0
2025-07-08,1159.0,70.0,1580.0,665.0,1105.0,0.0
2025-07-15,846.0,50.0,720.0,752.0,1436.0,0.0
2025-07-22,1462.0,78.0,1142.0,1323.0,2529.0,0.0
2025-07-29,1129.0,32.0,745.0,662.0,1603.0,0.0
2025-08-05,3849.0,168.0,944.0,816.0,1469.0,0.0
2025-08-12,1368.0,82.0,239.0,440.0,1184.0,0.0
2025-08-19,1710.0,50.0,253.0,617.0,1315.0,0.0
2025-08-26,1542.0,207.0,327.0,322.0,695.0,0.0
2025-09-02,1454.0,108.0,397.0,590.0,1199.0,0.0
2025-09-09,2253.0,98.0,424.0,357.0,697.0,0.0
2025-09-16,2343.0,69.0,380.0,353.0,665.0,0.0
2025-09-23,1982.0,62.0,198.0,393.0,670.0,0.0
2025-09-30,1637.0,105.0,361.0,543.0,530.0,0.0
2025-10-07,2728.0,88.0,629.0,746.0,934.0,0.0
2025-10-14,2466.0,225.0,379.0,164.0,339.0,0.0
2025-10-21,2213.0,119.0,457.0,321.0,406.0,0.0
2025-10-28,2181.0,168.0,278.0,464.0,1239.0,0.0
2025-11-04,1886.0,117.0,94.0,141.0,337.0,0.0
2025-11-11,2340.0,303.0,345.0,238.0,360.0,0.0
2025-11-18,2123.0,411.0,321.0,346.0,314.0,0.0
2025-11-25,2943.0,324.0,260.0,377.0,513.0,0.0
2025-12-02,4049.0,328.0,819.0,1151.0,1661.0,0.0
2025-12-09,3109.0,286.0,970.0,803.0,1424.0,0.0
2025-12-16,3223.0,389.0,815.0,1029.0,2245.0,0.0
2025-12-23,3516.0,430.0,727.0,1172.0,2124.0,0.0
2025-12-30,1972.0,239.0,1819.0,1547.0,3031.0,0.0
2026-01-06,3928.0,400.0,3466.0,5041.0,7926.0,0.0
2026-01-13,1504.0,222.0,750.0,1562.0,3437.0,0.0
2026-01-20,3871.0,202.0,978.0,1425.0,2399.0,0.0
2026-01-27,4093.0,294.0,1602.0,1962.0,4156.0,0.0
2026-02-03,16162.0,2479.0,4367.0,5375.0,9890.0,0.0
2026-02-10,12200.0,1488.0,11763.0,16326.0,27766.0,0.0
2026-02-17,28007.0,6551.0,35848.0,41823.0,74169.0,0.0
2026-02-24,30049.0,5497.0,35763.0,45434.0,79789.0,0.0
2026-03-03,16378.0,3247.0,2381.0,24010.0,41986.0,0.0
2026-03-10,13570.0,2575.0,1374.0,11043.0,26559.0,0.0
2026-03-17,7717.0,750.0,553.0,7594.0,14884.0,0.0
2026-03-24,4962.0,398.0,208.0,3951.0,7902.0,0.0
2026-03-31,4884.0,373.0,209.0,4457.0,7948.0,0.0
2026-04-07,4646.0,251.0,106.0,2382.0,4545.0,0.0
2026-04-14,2690.0,88.0,4.0,1182.0,2738.0,0.0
2026-04-21,5321.0,291.0,31.0,4489.0,8917.0,0.0
2026-04-28,4580.0,734.0,17.0,1752.0,3317.0,0.0
2026-05-05,2110.0,325.0,25.0,538.0,988.0,0.0
2026-05-12,7514.0,188.0,179.0,1694.0,2868.0,0.0
2026-05-19,4277.0,142.0,50.0,1031.0,1947.0,0.0
2026-05-26,2780.0,428.0,71.0,1110.0,2034.0,0.0
2026-06-02,3306.0,209.0,31.0,977.0,2060.0,0.0
2026-06-09,2737.0,152.0,9.0,711.0,1110.0,0.0
2026-06-16,1673.0,33.0,8.0,538.0,1627.0,0.0
