horizon,RMSE,MAE,PI_coverage_pct,MIS
1,19.0,19.0,100.0,47.02499999999999
2,15.524174696260024,15.0,100.0,55.02500000000004
3,16.0312195418814,15.666666666666666,100.0,62.68333333333336
4,41.39746369042432,31.25,75.0,361.51250000000005
5,64.46549464636101,48.6,60.0,762.4199999999994
6,69.37698946096369,55.5,50.0,689.6916666666656
7,84.18941229666082,68.14285714285714,42.857142857142854,817.1714285714271
8,79.94998436522674,64.5,50.0,750.8999999999987
9,82.55435919575794,68.55555555555556,55.55555555555556,711.3583333333322
10,92.72863635360977,77.4,60.0,693.629999999999
11,165.24224641416615,112.45454545454545,54.54545454545455,1072.2159090909079
12,321.2407261955848,183.79166666666666,50.0,2716.3729166666653
13,559.7059324048931,299.15384615384613,46.15384615384615,5849.965384615383
