beta,phi
1.1399180244049991,2.003312064192926
1.1372861888392674,2.0796905099539034
1.114761580355528,2.0453932841856473
1.1665185372538975,2.0038414546022474
1.1342939307708484,2.01707634489056
1.1376121508753492,2.0188972041679416
1.152157907244632,2.0263839010624785
1.1519277254926399,2.006102659149984
1.1519277254926399,2.006102659149984
1.1464800516391374,2.005868739152359
1.166619236257695,2.0085602541347227
1.1313204468286238,2.0081692473812502
1.1295326937709949,2.015582852470862
1.1344600768377417,2.012789539869314
1.172930942807705,2.0452815270792124
1.1147774250166713,2.007271849766934
1.1199819505473225,2.0077168650112287
1.1177892462226935,2.004904699201244
1.1424664440517407,2.0038415890983035
1.1612420874683749,2.019390080595776
1.131226987561364,2.021596848136254
1.151615171305753,2.0265261764406763
1.1442838904018453,2.0205441186300694
1.1549103200758388,2.0223009277128514
1.1736684442468048,2.024126067296961
1.1736684442468048,2.024126067296961
1.1693942974398772,2.0316286880504815
1.15550338823067,2.0647652866575656
1.1376934652474022,2.0086150253379627
1.156058581978435,2.0373683373938656
1.1349977116285404,2.0646611541325055
1.1349977116285404,2.0646611541325055
1.1450232221222254,2.0018920333033123
1.1278233353344609,2.0023475884467
1.1619699398188656,2.002770457859138
1.1523892410220045,2.003647809696241
1.1336818989082151,2.0298368575869588
1.1504834180044399,2.0070814533704278
1.1427413536662117,2.07265077068098
1.131806636466751,2.0558239231916797
1.1252432710515914,2.0101177251419537
1.1410426539178553,2.0131530096651558
1.1486899817475176,2.001522105546692
1.171541631099074,2.0041625766119693
1.1666393398535713,2.036490172409843
1.1663926290456315,2.0297195967916575
1.1663926290456315,2.0297195967916575
1.164236846224338,2.021652090662817
1.1644028090128768,2.020224837400608
1.1581694670433142,2.0672010936083147
1.1567612883255118,2.016473931731918
1.1352072194404612,2.015922834153717
1.146252565229936,2.0352415618766004
1.1414890087595206,2.0111168322013624
1.1394304943937577,2.0212069899484986
1.1394304943937577,2.0212069899484986
1.1503627114325568,2.0230529657243164
1.1391669493525953,2.095108360847014
1.1650194307666548,2.028333431566554
1.1650194307666548,2.028333431566554
1.1606604516051469,2.011419134260762
1.1686808894668381,2.038840121179794
1.1261719721723524,2.0114005525574408
1.1740997546376173,2.034912686909854
1.1571299970555742,2.0095921923295013
1.1533910453495941,2.013096899731807
1.131125339796375,2.005305288233748
1.158936601860814,2.0155084419046254
1.0864259383897152,2.0088909821433982
1.0940066423911154,2.0083054121001234
1.15545000081765,2.0653033706983157
1.1550612607048683,2.0438993013910656
1.144573060899221,2.007425511732314
1.1663343009999052,2.0023750411325647
1.1799964057746544,2.0021010562560764
1.146578022647459,2.000936008729728
1.1507737624879542,2.0018607179785755
1.1590691020270847,2.0008382551880057
1.1566422134174155,2.002514040958984
1.15061534459703,2.0000717897089704
1.1560429783334805,2.0001341228052825
1.1342102598188493,2.0004658711163543
1.1519629351995941,2.084800839939155
1.1480340385160723,2.0050099346723447
1.1564154856942561,2.0935602288993795
1.1630979841346063,2.0146425306206854
1.1614714423099584,2.019401779597905
1.152004229810438,2.0060941267660586
1.145102195008093,2.0356332356326954
1.153895532391395,2.0119141758143604
1.1248248131032825,2.0055630734124166
1.1386610652681532,2.034031467201317
1.1548347942680086,2.013081148624501
1.1290389015854394,2.0435239015719744
1.1290389015854394,2.0435239015719744
1.0938246513835364,2.0085180322396226
1.144618379894202,2.008062887149494
1.1753049824196782,2.0080542845547695
1.1238473973119578,2.002153953999208
1.1337066938884564,2.002320800598689
1.1361180663507988,2.004193790263812
1.1513280832986865,2.0564929587099003
1.1301431339174535,2.003667463130161
1.1354756572861417,2.0064337953725695
1.1370503479274086,2.005993112278694
1.1368717470171186,2.022271838138551
1.1368717470171186,2.022271838138551
1.1368717470171186,2.022271838138551
1.1368717470171186,2.022271838138551
1.1622075266400218,2.0174687390861794
1.1630778450062984,2.024469717803577
1.1619416602668586,2.0163225878289928
1.1352723239015179,2.011721906425254
1.1505973764384416,2.0068033791949658
1.1487631358324069,2.0082526271244516
1.1495258506735961,2.0074439972359186
1.1605650624113544,2.0285185463718163
1.1474563574300283,2.006215365302512
1.1361066123063313,2.015940641747508
1.1361066123063313,2.015940641747508
1.1618659177703998,2.0164302517324106
1.1635906379537515,2.007665711400654
1.1391057806111116,2.001036465809105
1.1616952276862416,2.079615284519954
1.1560886381100541,2.000770554087416
1.1348132509732227,2.0018827654147233
1.1388888226031506,2.096845128756292
1.1593348193306452,2.0027468355061195
1.1255386933646698,2.031249385527784
1.1263704828975025,2.0057596172859045
1.1263704828975025,2.0057596172859045
1.1935868524125393,2.0145596280878655
