breakpoint,beta1,beta2,R0_1,R0_2,NLL,MAE
20,1.0159619129685646,0.20147218514871268,4.165443843171115,0.8260359591097219,10720.66622780676,329.541195911855
21,0.9781694007831506,0.19548708659522318,4.010494543210918,0.801497055040415,9743.151622339223,314.59143025937135
22,0.9442805117904914,0.1889939728971518,3.8715500983410145,0.7748752888783224,8745.656230966462,295.5931268440012
23,0.9137707015300858,0.18190005913937615,3.7464598762733514,0.7457902424714422,7795.618765476713,276.719017722139
24,0.8860632404919115,0.17425520335719744,3.632859286016837,0.7144463337645094,6818.30170840209,256.7064482741017
25,0.8608771625510911,0.16590321897835825,3.529596366459473,0.6802031978112687,5848.2683038664,240.47190468872378
26,0.837801064052229,0.1568107163724773,3.4349843626141383,0.6429239371271568,4977.49249026292,222.43803423803624
27,0.8166077767694914,0.1468181578725672,3.3480918847549144,0.6019544472775255,4188.202982090932,199.77861629062744
28,0.797104356775597,0.13575790343987199,3.2681278627799473,0.5566074041034751,3392.558772949609,168.12063952210883
29,0.7790753315763621,0.12356505341617503,3.1942088594630844,0.5066167190063176,2461.6842675469675,144.32419361798895
30,0.7617802377259628,0.11112114223749862,3.1232989746764472,0.4555966831737443,1960.8146091483457,122.58804934667602
31,0.7450641950791275,0.09877856177684191,3.0547631998244222,0.4049921032850518,1846.2384511849973,116.2443432284307
32,0.728732276887208,0.08711186730494537,2.9878023352375527,0.35715865595027596,2442.8533621714287,137.88261156879284
33,0.7128407425477918,0.07612542184678625,2.9226470444459465,0.3121142295718236,3574.5024824796355,167.8577696792302
34,0.6975054709746616,0.06594709458516686,2.8597724309961126,0.2703830877991841,5001.3423070643485,210.4260856110058
35,0.6825138019061819,0.05710961921019016,2.7983065878153455,0.23414943876177963,6793.09071676267,254.35772579784808
