day,actual,fitted
0.0,4.0,0.0
1.0,5.0,0.0
2.0,5.0,1.2182500396946259
3.0,7.0,2.0329652310023145
4.0,9.0,2.82858387975087
5.0,10.0,3.77912877815293
6.0,4.0,4.997037354070807
7.0,13.0,6.58937515075565
8.0,9.0,8.682745081211628
9.0,20.0,11.438828391081387
10.0,18.0,15.068779342894558
11.0,30.0,19.850037561566015
12.0,29.0,26.147694349591582
13.0,36.0,34.44232019466904
14.0,57.0,45.366433235846245
15.0,48.0,59.75233894111578
16.0,58.0,78.69484605419129
17.0,124.0,103.6333711205801
18.0,150.0,136.45921337841602
19.0,201.0,179.6553429610897
20.0,320.0,236.47790617242254
21.0,438.0,311.19076790802677
22.0,510.0,409.3666270997162
23.0,698.0,538.2701925730918
24.0,689.0,707.3398551466034
25.0,856.0,928.7828495779684
26.0,1104.0,1199.0762659354666
27.0,1189.0,1429.3214149424577
28.0,1190.0,1606.9326401256042
29.0,1143.0,1726.3583832855522
30.0,2058.0,1784.3787947070928
31.0,1943.0,1783.283491909305
32.0,2319.0,1730.4589135827746
33.0,1916.0,1636.6360042093477
34.0,1443.0,1513.8827211286734
35.0,1424.0,1373.9041099012609
36.0,1450.0,1226.8850251133842
37.0,1481.0,1080.895002592683
38.0,672.0,941.7534607005431
39.0,557.0,813.2081175614148
40.0,467.0,697.2840266791587
41.0,385.0,594.6909967430793
42.0,379.0,505.21472820739683
43.0,457.0,428.05084032999383
44.0,305.0,362.0663543069026
45.0,337.0,305.98954938726166
46.0,221.0,258.5378334065687
47.0,234.0,218.49659149973922
48.0,115.0,184.76198787468883
49.0,132.0,156.35897065748588
50.0,185.0,132.44337605231607
51.0,240.0,112.29469081744071
52.0,130.0,95.30401748999559
53.0,104.0,80.96020338478638
54.0,100.0,68.8359323977729
55.0,36.0,58.57477414433826
56.0,38.0,49.87965799342465
57.0,26.0,42.50291481945477
58.0,34.0,36.23784373046701
59.0,36.0,30.91166373223512
60.0,50.0,26.379676498502295
61.0,43.0,22.520455382586942
62.0,19.0,19.231892788579366
