day,actual,fitted
0.0,4.0,0.0
1.0,5.0,0.0
2.0,5.0,0.6894306269522577
3.0,7.0,1.0639976491414531
4.0,9.0,1.3229212677014268
5.0,10.0,1.5491257838007388
6.0,4.0,1.778367054983011
7.0,13.0,2.0274404102231993
8.0,9.0,2.305714127370366
9.0,20.0,2.619871292685923
10.0,18.0,2.9758889205233983
11.0,30.0,3.379897276200899
12.0,29.0,3.8385898489782218
13.0,36.0,4.359458264066093
14.0,57.0,4.950964999936
15.0,48.0,5.622701113574564
16.0,58.0,6.3855496557722216
17.0,124.0,7.251864771635768
18.0,150.0,8.23567227313521
19.0,201.0,9.352896222373714
20.0,320.0,10.621615429011277
21.0,438.0,12.062354285453727
22.0,510.0,13.698412422626333
23.0,698.0,15.556238444197316
24.0,689.0,17.665853577201485
25.0,856.0,20.061331592565647
26.0,1104.0,22.781342702161098
27.0,1189.0,25.86976910485427
28.0,1190.0,29.376402240957425
29.0,1143.0,33.357731108270556
30.0,2058.0,37.877834332573784
31.0,1943.0,43.009387810396724
32.0,2319.0,48.834803098847665
33.0,1916.0,55.44751203352303
34.0,1443.0,62.953414830643126
35.0,1424.0,71.47251190229204
36.0,1450.0,81.14073849027098
37.0,1481.0,92.11202751766096
38.0,672.0,104.56062158809881
39.0,557.0,118.68366402990641
40.0,467.0,134.70409196809203
41.0,385.0,152.8738629846285
42.0,379.0,173.4775408361165
43.0,457.0,196.83626773347413
44.0,305.0,223.3121502194705
45.0,337.0,253.31307337356418
46.0,221.0,287.2979669508165
47.0,234.0,325.78251298287563
48.0,115.0,369.3453030864482
49.0,132.0,418.63439070234807
50.0,185.0,474.3742101323745
51.0,240.0,537.3727324492459
52.0,130.0,608.5287594776164
53.0,104.0,688.8391064140283
54.0,100.0,779.4054422656644
55.0,36.0,881.4403735021358
56.0,38.0,996.2722930620594
57.0,26.0,1125.348378423822
58.0,34.0,1270.2348743051386
59.0,36.0,1432.613722884838
60.0,50.0,1614.2742839342857
61.0,43.0,1817.0986662016173
62.0,19.0,2043.0389845086058
