day,actual,fitted
0.0,4.0,0.0
1.0,5.0,0.0
2.0,5.0,1.2593389115706748
3.0,7.0,2.1136387112427286
4.0,9.0,2.964505968359008
5.0,10.0,3.9971011321453425
6.0,4.0,5.336279227679989
7.0,13.0,7.105870055017244
8.0,9.0,9.455889901545785
9.0,20.0,12.580764745590649
10.0,18.0,16.73730701510937
11.0,30.0,22.266430118369424
12.0,29.0,29.62123391944607
13.0,36.0,39.40402360787423
14.0,57.0,52.41532129847733
15.0,48.0,69.71877878109193
16.0,58.0,92.72706565678746
17.0,124.0,123.31531605807328
18.0,150.0,163.97061744218473
19.0,201.0,217.98834924857974
20.0,320.0,289.7289166720061
21.0,438.0,384.9514418600311
22.0,510.0,511.2439112237925
23.0,698.0,678.5713303020714
24.0,689.0,899.9630313966787
25.0,856.0,1192.3544906662612
26.0,1104.0,1577.582721502957
27.0,1189.0,2083.4990363659476
28.0,1190.0,2745.0954601549815
29.0,1143.0,1962.1339930699983
30.0,2058.0,1526.52493051974
31.0,1943.0,1267.6729160221544
32.0,2319.0,1100.1653442146862
33.0,1916.0,981.1312516917981
34.0,1443.0,888.9533280537655
35.0,1424.0,812.6410634062828
36.0,1450.0,746.5247071515004
37.0,1481.0,687.6049645296687
38.0,672.0,634.228490338456
39.0,557.0,585.4254515920594
40.0,467.0,540.5778134912152
41.0,385.0,499.25288333158034
42.0,379.0,461.1194825904475
43.0,457.0,425.9054475446405
44.0,305.0,393.3758231973539
45.0,337.0,363.32144095615274
46.0,221.0,335.5527114697866
47.0,234.0,309.8960623179922
48.0,115.0,286.191719149479
49.0,132.0,264.2921951750172
50.0,185.0,244.06114961844594
51.0,240.0,225.3724627488055
52.0,130.0,208.109441154525
53.0,104.0,192.1641085933036
54.0,100.0,177.4365605537361
55.0,36.0,163.83437172032666
56.0,38.0,151.2720478429924
57.0,26.0,139.67051722956055
58.0,34.0,128.95665847567236
59.0,36.0,119.06286169173111
60.0,50.0,109.92662079787253
61.0,43.0,101.49015498414036
62.0,19.0,93.70005727989195
