day,actual,fitted
0.0,0,0.0
1.0,0,0.0
2.0,1,1.2252966088204156
3.0,3,2.437088937306384
4.0,6,3.909944084722051
5.0,5,5.912182605649369
6.0,7,8.767226421188083
7.0,15,12.912574504103748
8.0,19,18.96983886343802
9.0,23,27.838197370187892
10.0,50,40.82511597895174
11.0,67,59.83148598990572
12.0,78,87.61266331220921
13.0,140,128.14081638319144
14.0,215,187.0940205629732
15.0,293,272.48587819595616
16.0,395,395.4100183004875
17.0,642,570.776830335666
18.0,767,817.7181918971014
19.0,1158,1158.9779303793293
20.0,1671,1618.0991591444108
21.0,2140,2212.8094362626857
22.0,2930,2943.469686035008
23.0,3784,3778.173086843269
24.0,4651,4641.784908469159
25.0,5441,5421.566608092817
26.0,5912,5997.883466439361
27.0,6324,6289.52247879181
28.0,6200,6284.551081360327
29.0,6152,6035.168914599109
30.0,5638,5624.912787921895
31.0,5289,5134.529014835303
32.0,4597,4641.267452105019
33.0,4210,4143.611517092936
34.0,3612,3677.0303938634584
35.0,3301,3253.5878945423774
36.0,2891,2874.9766880346187
37.0,2569,2538.773416098728
38.0,2120,2241.184772320509
39.0,2021,1978.1744788451253
40.0,1749,1745.893900776327
41.0,1578,1540.8260579087819
42.0,1377,1359.815575489045
43.0,1218,1200.0551942184477
44.0,1045,1059.0573122367507
45.0,879,934.6218960257604
46.0,812,824.8051605720218
47.0,739,727.8906066297454
48.0,629,642.3628622192772
49.0,557,566.884319683724
50.0,497,500.2743844986097
51.0,437,441.49109660770296
52.0,396,389.6148795226873
53.0,355,343.8341797870599
54.0,297,303.43278669441094
55.0,255,267.7786349983571
56.0,235,236.31392350590795
57.0,214,208.54638840338083
58.0,167,184.0416069808933
59.0,146,162.41620002367387
60.0,138,143.33183494444006
61.0,128,126.48993425038199
62.0,124,111.62700302682516
63.0,102,98.51050728058144
64.0,113,86.93523669839693
65.0,85,76.72009326224182
66.0,70,67.70525819829136
67.0,52,59.74969216706583
68.0,47,52.728928184492794
69.0,49,46.53312423192951
70.0,38,41.0653452510691
71.0,44,36.240046327349184
72.0,23,31.981734088611244
73.0,28,28.22378598943652
74.0,19,24.907407884539836
75.0,20,21.980713930743434
76.0,14,19.397915105600863
77.0,16,17.11860279520936
78.0,15,15.107116389938675
79.0,12,13.331985554314345
80.0,8,11.765437861269163
81.0,10,10.382964143509291
82.0,4,9.16293515948257
83.0,8,8.086263205854749
84.0,5,7.136103386573747
85.0,4,6.297590146219577
86.0,9,5.557604703770392
87.0,2,4.90456973676784
88.0,2,4.328268303170809
89.0,4,3.8196840009357422
90.0,2,3.370859855991983
