day,actual,fitted
0.0,0,0.0
1.0,0,0.0
2.0,1,1.2250386013292351
3.0,3,2.4365152530840817
4.0,3,3.908880096856674
5.0,6,5.910312385277616
6.0,7,8.764029469293291
7.0,9,12.907216195075803
8.0,22,18.960996188022598
9.0,22,27.823789107033214
10.0,41,40.80189032025878
11.0,46,59.794397268556054
12.0,69,73.34116471868504
13.0,99,92.88264601712255
14.0,117,119.39634927110822
15.0,136,154.44851307819386
16.0,189,200.20909965794314
17.0,262,259.50948006455394
18.0,343,335.92105252224286
19.0,437,433.82985382812296
20.0,534,558.4718533237443
21.0,715,715.8758002594648
22.0,914,912.6361296615769
23.0,1127,1155.4121209014402
24.0,1499,1450.0335799525435
25.0,1826,1800.112448129878
26.0,2220,2205.1518702717717
27.0,2723,2658.349148694046
28.0,3154,3144.611672530947
29.0,3540,3639.6537500915383
30.0,4034,4111.183985400015
31.0,4439,4522.817419316031
32.0,4891,4840.32366314496
33.0,4945,5038.515314012623
34.0,5040,5106.336530077159
35.0,5171,5048.24217690631
36.0,4907,4881.596557801235
37.0,4527,4631.511865299384
38.0,4284,4325.255903651442
39.0,3940,3987.90467708129
40.0,3612,3639.905833380599
41.0,3224,3296.3577434824815
42.0,2907,2967.411290826246
43.0,2678,2659.196836198183
44.0,2401,2374.8576793646685
45.0,2089,2115.4682122776485
46.0,1862,1880.7571311507074
47.0,1661,1669.6350323588797
48.0,1522,1480.5588824116621
49.0,1316,1311.7731920796275
50.0,1157,1161.4635037812593
51.0,1020,1027.8500304950148
52.0,903,909.2416523722661
53.0,811,804.0642894789353
54.0,709,710.8730849318748
55.0,611,628.3546224282059
56.0,583,555.3232214565847
57.0,482,490.71389778034006
58.0,456,433.57364133485146
59.0,388,383.05202115669084
60.0,345,338.39175836256874
