draw,q,seed,averted_total,rel_reduction,factual_total,counter_total,S0_0-4,rho_0-4,averted_0-4,S0_5-9,rho_5-9,averted_5-9,S0_10-19,rho_10-19,averted_10-19,S0_20-29,rho_20-29,averted_20-29,S0_30-49,rho_30-49,averted_30-49,S0_50+,rho_50+,averted_50+
1,0.30533917826030915,43.35911373719995,6469.181468428847,46.62006784203036,7407.206464658959,13876.3879330878,0.4758475206240565,0.02405673145873906,2778.87121361785,0.24720082859201511,0.014794341218137084,574.9189339796112,0.4454140337299677,0.0037061192445671707,508.1199024210452,0.47936725415099435,0.004927267370764038,886.2543624231305,0.30032552131056317,0.0073223502998085565,1566.7615503992774,0.03247010485291622,0.01645768670474702,154.2555055879332
2,0.3112020728096994,42.25928918215699,7543.558658856902,50.66190708032188,7346.442712186977,14890.001371043874,0.40060513716353907,0.036402884783251065,3792.1433474637865,0.26549825800836246,0.013983141111394566,585.7068341182444,0.4338105819044616,0.0038045027285514023,527.1250519609766,0.43146731750825995,0.005542645805164714,940.1554474986249,0.32876705541004875,0.00673987212634683,1555.772992948547,0.02464544560856946,0.01950487250467187,142.65498486672266
3,0.2951363893141788,44.57911787993026,7555.103267615339,50.899244954503295,7288.1488756502995,14843.25214326564,0.36388309737263347,0.04268807623269258,4001.510810629824,0.2268379714661124,0.016061803941761182,565.0113071207746,0.46605961804036156,0.0035402267470289973,488.65573047090373,0.46441158339839717,0.005244732236314227,896.8413909602332,0.3428992850949834,0.006390921185651679,1451.9625031058404,0.028627095129149266,0.019102271979220976,151.12152532776298
4,0.3067504250644825,37.615120303384586,7077.579009086568,49.226151644667524,7300.1019036427815,14377.68091272935,0.4566989629911606,0.02978099418350287,3082.318844248752,0.24469120176753612,0.01596619091421807,597.6112100984169,0.47041136077472856,0.003502414166586552,483.22307420004535,0.3901244255250666,0.007080261163085621,1044.8353835707605,0.26349590587811667,0.009336921352432597,1712.6040784878521,0.02979589869401127,0.019398946841207288,156.98641848074053
5,0.3149367266821825,48.395722612925766,7897.872480191315,52.86085834570865,7042.9981892545575,14940.870669445874,0.3732723960445854,0.04188418315352302,3915.2242863177894,0.28072077974848114,0.013945371369864092,601.7094433926381,0.4318526807081388,0.003882475993201914,536.1358222073635,0.4411943034731226,0.005832696717105469,979.250133211582,0.2569709095721244,0.009235159327408473,1717.3815150290143,0.023087833515105537,0.022504177358634928,148.17128003292868
6,0.31698629371763815,40.953956302416245,10151.980459291524,57.42750760915571,7525.924924282853,17677.90538357438,0.3510638055082791,0.06131143921276685,5956.565943371546,0.30145382566778534,0.01224921266882314,590.2535291184306,0.41404946798046655,0.003937472026071413,561.141482011972,0.4746398146786177,0.005471703541440404,1036.207202177035,0.2885481449530263,0.008639165018619716,1880.0601749556383,0.0186590054085947,0.022168469981921814,127.75212765690318
7,0.3107734652592978,41.371442222714144,6906.73792997224,48.52545148792073,7326.489620092925,14233.227550065165,0.45056534216538857,0.02926399383680114,3127.6682557314825,0.3091794029729579,0.011464236795975689,517.8911343973888,0.4515971087076796,0.0035343877483025943,479.68508212140597,0.34800984227136866,0.007799484992176654,1069.7401072005807,0.3061948314650953,0.007692802378270193,1596.6637107512258,0.01837894977786598,0.02245134547140279,115.08963977015637
8,0.31433851462102186,38.02920462321179,9569.788508307069,56.49365297537157,7369.793204489987,16939.58171279705,0.36503029864726566,0.05949585685543521,5522.573969511791,0.2880716804915997,0.011906764167169523,531.0644672830322,0.4434143298651633,0.0038804749991074037,548.2076532652532,0.3791909190974624,0.007062349685670287,1067.8906753831652,0.28628230614155814,0.008529136749506906,1733.3072053933968,0.027962487669169134,0.020605270908401096,166.74453747042895
9,0.29832328146407927,46.83649571766255,7232.199267570065,49.67842450160862,7325.829373889534,14558.028641459598,0.40586899562578493,0.03577025694846971,3652.811945971311,0.2551652806091747,0.014411844607332823,565.1969305436045,0.45333896963925435,0.0035378459948296344,488.9901617550387,0.47433781098793215,0.0050283996980286,885.6367428409488,0.3220418408305047,0.006795272390463794,1499.475239879758,0.0315400282924743,0.01572900187227685,140.08824657940394
10,0.319952343420568,44.629947116465765,8073.9864819915565,51.22032182600461,7689.261764317558,15763.248246309116,0.42062055970403406,0.0354703669043651,3728.677997309027,0.23122605524658074,0.01996974969295258,765.7825541576215,0.42379675294329927,0.003884616808739455,540.7939225370324,0.4155806123191806,0.006430709761149434,1068.9809318130704,0.29847735520515645,0.008392190380650661,1804.2538061932046,0.02837645316501782,0.0193207943562549,165.4972699816011
