day,actual,fitted
0.0,0,0.0
1.0,0,0.0
2.0,1,1.2253722367863826
3.0,3,2.437257102161323
4.0,6,3.9102559841440483
5.0,5,5.912730866167619
6.0,7,8.76816365162285
7.0,15,12.914145422915627
8.0,19,18.972431400851875
9.0,23,27.842421799604825
10.0,50,40.831925855671386
11.0,67,59.84236092883102
12.0,78,87.62988148623185
13.0,140,128.16785313939442
14.0,215,187.13611524720002
15.0,293,272.55080493916154
16.0,395,395.509057463918
17.0,642,570.9258245241542
18.0,767,817.9383157242281
19.0,1158,1159.295326534028
20.0,1671,1618.5418972489426
21.0,2140,2213.399686593069
22.0,2930,2944.2096962998003
23.0,3784,3779.0273979403846
24.0,4651,4642.668768453313
25.0,5441,5422.356076075558
26.0,5912,5998.4541294580295
27.0,6324,6289.798876694675
28.0,6200,6284.532681784068
29.0,6152,6034.916216486222
30.0,5638,5624.510563694228
31.0,5289,5134.054141641447
32.0,4627,4623.298128343168
33.0,4244,4128.655045337006
34.0,3637,3668.629966980288
35.0,3317,3250.460364381867
36.0,2899,2875.191437308659
37.0,2571,2540.8401130615794
38.0,2118,2244.146701305906
39.0,2016,1981.469231881866
40.0,1743,1749.2095091245526
41.0,1570,1543.999163041212
42.0,1370,1362.7678918930785
43.0,1210,1202.756005405208
44.0,1037,1061.501898360116
45.0,873,936.8192707945315
46.0,806,826.7711406442012
47.0,733,729.643915751694
48.0,624,643.9229638195355
49.0,552,568.270236718058
50.0,492,501.5040863844435
51.0,433,442.58121181959507
52.0,392,390.5805930691078
53.0,352,344.6892382117187
54.0,294,304.1895575182438
55.0,253,268.44819902840703
56.0,233,236.90617520250288
57.0,212,209.0701456124845
58.0,165,184.50471172725943
59.0,144,162.82561840849831
60.0,136,143.69374941285113
61.0,126,126.80982557042239
62.0,123,111.90972794501461
63.0,101,98.76036766737919
64.0,112,87.15604024276935
65.0,84,76.91520975238387
66.0,69,67.87766941470909
67.0,51,59.90203516063625
68.0,46,52.86353497616576
69.0,49,46.652057167209854
70.0,37,41.17042740941027
71.0,44,36.33288916695756
72.0,23,32.06376222686352
73.0,28,28.29625845156807
74.0,18,24.971437222224072
75.0,20,22.03728348431386
76.0,26,19.447893794725342
77.0,11,17.16275831088571
78.0,14,15.146127165067044
79.0,13,13.366451031445274
80.0,10,11.795887591820767
81.0,6,10.409866064279889
82.0,5,9.186702705871081
83.0,8,8.107261586885636
84.0,5,7.154655300459649
85.0,4,6.313980697767102
86.0,9,5.572085732793046
87.0,2,4.917363763181379
88.0,2,4.339571919940841
89.0,4,3.829670861241783
90.0,2,3.3796833955198555
