beta,sigma,gamma,rho,phi,R0
6.417843124737978,5.023817813557769,5.646017585615857,0.3495437240465584,9.855559031421707,1.136702645257158
5.462096652947462,5.719383443726313,4.784855807413808,0.37842017485669616,12.121051715858137,1.1415384021571382
5.097766463484813,6.987072441081232,4.507678936940977,0.3672698992135691,9.061737547773975,1.130907177462884
5.662187648308979,7.23391033608329,5.08324799850161,0.361665515828961,7.918887746930553,1.1138916790953388
4.219926698698876,6.707526576654401,3.614363490287154,0.346341076409574,7.801580504988603,1.167543527384295
4.563896664711226,6.519397270067435,3.96322902341228,0.3474004117749553,8.448373389376421,1.1515601641365103
4.763868576993851,6.56132062201118,4.147284884396186,0.3367500623292219,9.103006163191857,1.1486716514019837
4.74505975501694,6.732845631543557,4.13711532688742,0.3353184363944958,9.336055550795724,1.1469488713980112
4.7945798417206875,6.731868466560406,4.182060486026443,0.33561936246942536,9.3416685201799,1.1464635334043736
4.8358201136186105,6.592685314480092,4.239346196042146,0.34227078499923264,9.509186443325607,1.1406995064789311
4.752975805603883,6.54399537750111,4.1452833589672045,0.3517884293931238,8.638636710214595,1.1465985299465957
4.736744113965519,6.576438481177604,4.12584257599026,0.35180414774013663,8.852999643505626,1.1480670982286894
5.415675244592394,4.462065018862502,4.615847020242091,0.297241548206214,11.993609054268973,1.1732787548726762
4.033585507050079,4.726701974026812,3.3187698317239973,0.26760725729964735,15.331053695338086,1.2153857337418175
4.036934976060814,4.725550518555145,3.3403983572839144,0.26532262969310755,15.718304764217347,1.208519028054862
4.2752489707718535,4.548251571616021,3.5512161938835,0.2701183619185009,14.322408103124314,1.2038830466405859
4.699481862915835,5.2335757363912965,3.989297674818828,0.30624052845614685,18.21788679380157,1.1780223603216724
4.406823303583714,5.555355488452381,3.7466475777692003,0.302373995626966,12.066813896722882,1.1762043832816511
4.438596194942609,5.7117615209361885,3.797873392863038,0.30574080543910687,12.098843887217354,1.1687056770464272
4.272847519891383,5.679391462621074,3.6173668635773675,0.3120019781257485,12.095552283378973,1.1812038095759474
4.097244648133307,5.707906649189439,3.4542012176876207,0.31278548678920554,12.453445690363324,1.1861627015684295
4.200579532104507,5.775799162579719,3.559552518789342,0.31803247265615975,13.664824497772925,1.1800864041003638
5.314629104530836,4.498348747351591,4.528034584172278,0.3297524667219571,10.946053612112163,1.1737165442834943
4.994584684989063,5.728627888612913,4.342364840328615,0.3135532251222667,12.01624179317281,1.1501992275276185
5.17468613344623,5.777556672951695,4.532485287560062,0.3169099790434231,12.493325918557158,1.1416884568050918
4.158369358799867,5.706420171735726,3.5140472083130225,0.31964482874141853,16.418071709518788,1.183356145290991
4.111212025762761,5.657620031150988,3.46475542595035,0.3141792453670132,17.079196872930286,1.1865807309141003
4.8967764846188375,5.714046812575427,4.227132917241823,0.31987101623745584,15.478528766844923,1.158415545592532
4.270499622302473,6.895888871738481,3.689967239744099,0.3020535857448891,10.729937364436617,1.157327245701681
5.982697441651358,5.234253111397225,5.251370827433947,0.33750576087355344,14.860380429854127,1.1392639442632486
5.2859459695296085,4.34793204592657,4.474812505878461,0.3105955496780231,9.56220020743931,1.1812664692845969
9.765869497167435,3.130171094088673,8.337231476728652,0.2932107489866877,18.707385902330486,1.1713564058316572
9.053830149098511,3.363074559047121,7.795006413772278,0.34276295875585694,17.782475325161947,1.161491045485496
9.002918532077107,3.375661555496314,7.722345446187605,0.34347585821618576,17.503353258972822,1.1658269621338553
9.615137802345727,3.2308416225196277,8.267541634096924,0.34639684861620473,17.49195345394854,1.1629984132999172
9.554435994883027,3.311101266773446,8.22260767859744,0.34463830603315077,17.426787748571208,1.1619715263507213
9.265975773353302,3.528690663497882,8.028177930822608,0.32651220932828956,18.123878336317922,1.1541816652790433
8.291747422977027,2.7555885553831767,6.867855629513695,0.2761081439279315,11.185027966471583,1.2073269838906262
8.670269648336909,2.995661470038435,7.326679110551232,0.3046857047372191,12.383587868028886,1.183383292418356
8.598877135993968,3.1228230400583312,7.302963292751865,0.3227712170174742,16.841428992816446,1.1774504117429
8.650685771208984,3.160003345250739,7.341162570561723,0.32248694519453996,17.089627437207618,1.1783809019430367
7.707081084480177,3.5282992743850934,6.602763399776686,0.3329410869860143,9.976147403369286,1.1672508339070335
8.457936496305459,2.893231423640279,7.07484088287361,0.2877807828806402,17.598470520254935,1.195494942759769
8.135639532609723,3.6382018192982417,7.029455395453412,0.32827962705408786,11.503513684882742,1.1573641306368885
9.521523824519099,2.4346661313972606,7.782653620970873,0.2539260390681569,19.390470111515157,1.2234289598682286
9.255617931443693,2.4626492604067796,7.570999451019334,0.2669183141810338,18.735531900187173,1.2225093914380811
6.255543537776155,4.106634204827081,5.361033119676517,0.3466267493542733,7.319905006652934,1.1668541115361757
6.516377073132379,4.5361047853463266,5.679513380339065,0.3337113778472416,9.255095748453346,1.147347780831067
6.546643438684149,4.574999775156066,5.696508601934969,0.33830351484512183,9.112640589494815,1.1492378746624572
5.998129856048596,3.4039981024366717,4.98440258392833,0.29295488391547264,9.112704338772641,1.203379894591364
6.56973891994141,3.7934379247636953,5.618185471746265,0.30433177605354617,12.34731388878625,1.1693702447134378
6.146858939037223,4.208771334085403,5.286143407977845,0.33477042105393184,16.22282481068823,1.1628248544601318
5.937231452354546,3.74099293912356,4.9866263258471335,0.2986408170246452,16.734091686583934,1.1906309124427772
6.941685869781197,4.401553608144493,6.0638267711450045,0.32212414187854077,18.822164221149293,1.1447698180979584
6.538645904854914,4.404635165717799,5.668723507643641,0.3421703000019365,22.400622997934818,1.1534600154758439
