day,actual,fitted
0.0,8.0,0.0
1.0,8.0,6.024984127302252
2.0,10.0,8.419015795150361
3.0,12.0,12.51953403643324
4.0,16.0,18.595218696788102
5.0,24.0,27.570718295956226
6.0,48.0,40.77176346975247
7.0,51.0,60.061167206104315
8.0,92.0,87.97543588469986
9.0,124.0,127.79814949836003
10.0,178.0,183.42950039856748
11.0,280.0,258.7968948148689
12.0,387.0,356.4506225132859
13.0,442.0,475.08397356312344
14.0,644.0,606.3561274710387
15.0,779.0,732.7868852218767
16.0,702.0,829.7953448616049
17.0,695.0,873.7720041828647
18.0,870.0,853.0509278521986
19.0,925.0,774.0393231056687
20.0,802.0,657.4572107024696
21.0,578.0,528.0507073135395
22.0,404.0,405.49404263355063
23.0,296.0,300.8250858588235
24.0,162.0,217.53108832375074
25.0,106.0,154.4110140457924
26.0,64.0,108.17227114516209
27.0,46.0,75.08345554202606
28.0,35.0,51.78311389494047
29.0,27.0,35.55584605668082
30.0,28.0,24.33965726369206
31.0,24.0,16.627024083811193
32.0,26.0,11.34220243247546
33.0,29.0,7.729638777096625
34.0,17.0,5.264220024084352
