day,actual,fitted
0.0,5.0,5.0
1.0,4.931474209509756,4.931474209509756
2.0,5.983104725785067,5.983104725785067
3.0,8.126933751176141,8.126933751176141
4.0,11.585921693888974,11.585921693888974
5.0,16.824598321222847,16.824598321222847
6.0,24.595395800536288,24.595395800536288
7.0,36.03909416373035,36.03909416373035
8.0,52.84518524292409,52.84518524292409
9.0,77.49329343222234,77.49329343222234
10.0,113.61937194253484,113.61937194253484
11.0,166.50480235975266,166.50480235975266
12.0,243.8646924109108,243.8646984271991
13.0,356.77555826045807,356.8011952882032
14.0,521.2772752371814,521.2882551517669
15.0,759.9011080784743,759.9006687127728
16.0,1104.5835263251802,1103.5463362236897
17.0,1598.3148086110311,1593.8976357677475
18.0,2298.5423689895892,2285.5310168909655
19.0,3277.308550571492,3244.963644459979
20.0,4613.621133604495,4546.995299617662
21.0,6393.451473586514,6264.252818175484
22.0,8667.370728681342,8441.955845337867
23.0,11436.95641721333,11072.258218319252
24.0,14613.62989837398,14067.577747948697
25.0,18008.21934241462,17248.051112767054
26.0,21354.977271838292,20379.50938815552
27.0,24389.9295505623,23216.778705922756
28.0,26891.896508593585,25567.45765747228
29.0,28761.447429649255,27314.166833171286
30.0,29947.90145634393,28442.17027714837
31.0,30509.272104450218,28977.303781916242
32.0,30523.916103081225,29001.002641682477
33.0,30091.57955571726,28600.508090526924
34.0,29307.033971142424,27865.65997350834
35.0,28257.4257257632,26877.465085135114
36.0,27017.031531737328,25706.302521832724
37.0,25647.95844005415,24411.08057247327
38.0,24200.712877049384,23039.920532347965
39.0,22715.727198124714,21631.43884499453
40.0,21224.768749480514,20216.05801516314
41.0,19752.403064757815,18817.346568420144
42.0,18317.186740837737,17453.13177965464
43.0,16932.79110364054,16136.601127731139
44.0,15608.890027635176,14877.078476085091
45.0,14351.969681830727,13680.866929381024
46.0,13165.916404549944,12551.772742674473
47.0,12052.661911866526,11491.671286341652
48.0,11012.459336275497,10500.960318614296
49.0,10044.444281709983,9578.772285568142
50.0,9146.817552697657,8723.468868323307
51.0,8316.999543426715,7932.78535654336
52.0,7552.0698278101545,7203.757733090175
53.0,6848.816705810461,6533.2678694661245
54.0,6203.676917209491,5918.152049101301
55.0,5613.044437010879,5355.076534987482
56.0,5073.397098926549,4840.538043321733
57.0,4581.246703237647,4371.164118963441
58.0,4133.080303758456,3943.718876337165
59.0,3725.5488669868937,3555.05831998356
60.0,3355.4969479849847,3202.1107665635814
61.0,3019.94374010925,2881.9880873769794
62.0,2716.011963810894,2591.9992237502115
63.0,2440.99917592115,2329.632807599068
64.0,2192.4044284144716,2092.4884027936446
65.0,1967.928168492326,1878.331073235462
66.0,1765.438750620659,1685.0995115497583
67.0,1582.9199437622958,1510.90518235743
68.0,1418.5281030375,1354.0233823637193
69.0,1270.5687789923127,1212.8303693817938
70.0,1137.4961998791468,1085.8465350062856
71.0,1017.9067222846747,971.7158875204403
72.0,910.4950266273274,869.199375832314
73.0,814.0844382873028,777.1748894747758
74.0,727.5981447067659,694.6184636434
75.0,650.0527666178019,620.5944147449048
76.0,580.5583580424226,554.2619063241032
77.0,518.311064705042,494.85014476960464
78.0,462.57841273780764,441.65825731799674
79.0,412.7100514352627,394.05521841519646
80.0,368.10994700941035,351.4682597824127
81.0,328.2347532866675,313.38941062327507
82.0,292.59381170786355,279.3610569211245
83.0,260.74647254050376,248.96387261870385
84.0,232.29871230255276,221.8168196181584
85.0,206.90431836625157,197.57714778103588
86.0,184.2458619912955,175.93731027767274
87.0,164.03353928451784,156.62793874332303
88.0,146.00517119988942,139.4087939745822
89.0,129.92589995119337,124.05932758896891
90.0,115.58754634262955,110.37866386274794
91.0,102.81043266521368,98.1855997309309
92.0,91.43066749520881,87.3190062905492
93.0,81.2981049005409,77.63909164934248
94.0,72.27634444079894,69.02016871708335
95.0,64.24273116723525,61.34776342735868
96.0,57.088385933261,54.51863583897356
97.0,50.72060483737096,48.439719110801285
98.0,45.05692221367398,43.0285261363024
99.0,40.0214594413724,38.21603221741285
100.0,35.54491371341222,33.938739444472716
101.0,31.564558036482946,30.138183171964705
102.0,28.024243096029952,26.760932018514325
103.0,24.87553995353614,23.758587866889766
104.0,22.077448362833323,21.08806123609162
105.0,19.59245260546621,18.714049003953324
106.0,17.386094548195153,16.605313679961544
107.0,15.426973642996,14.732988567906487
108.0,13.686746927060405,13.07073777001356
109.0,12.140239528121784,11.59475618694332
110.0,10.766479006706541,10.283747545347971
111.0,9.547242085839109,9.11914284123484
112.0,8.46572091418306,8.085457780845086
113.0,7.506498500325404,7.168593769864063
114.0,6.655548712776542,6.355578504639908
115.0,5.900236279970307,5.634565972183556
116.0,5.229674796183342,4.9948364501687035
117.0,4.634856625145394,4.4269025073530175
118.0,4.107390004149256,3.9230909333450206
119.0,3.6396753830026,3.4763185653992315
120.0,3.2249106211846703,3.0801516019709916
